Timestamp,Motor 1 Power,Motor 2 Power,Motor 3 Power,Motor 4 Power,Motor 5 Power,Motor 6 Power,Motor 7 Power,Motor 8 Power,Motor 9 Power,Motor 10 Power,Motor 11 Power,Motor 12 Power,Motor 1 Torque,Motor 2 Torque,Motor 3 Torque,Motor 4 Torque,Motor 5 Torque,Motor 6 Torque,Motor 7 Torque,Motor 8 Torque,Motor 9 Torque,Motor 10 Torque,Motor 11 Torque,Motor 12 Torque,Motor 1 Velocity,Motor 2 Velocity,Motor 3 Velocity,Motor 4 Velocity,Motor 5 Velocity,Motor 6 Velocity,Motor 7 Velocity,Motor 8 Velocity,Motor 9 Velocity,Motor 10 Velocity,Motor 11 Velocity,Motor 12 Velocity,Battery Voltage
1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0024,-0.1920,0.0827,0.1143,0.0143,-0.0050,0.0142,0.0144,0.0222,0.1571,-0.2102,-0.0293,0.8725,-2.3885,-0.9458,1.8852,-0.0569,0.0307,-0.1122,0.0588,-1.2270,1.8751,-1.5254,0.9867,23.3750
2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0123,-0.1654,0.1110,0.0946,0.0065,-0.0059,0.0095,0.0202,0.0403,0.1198,-0.1498,-0.0608,-0.6457,1.3506,0.7434,-1.4000,0.1145,-0.0215,-0.0486,-0.0123,0.4293,-1.2372,1.0233,-0.7029,23.6250
3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0284,-0.1440,0.0892,0.1023,0.0093,-0.0087,0.0126,0.0142,0.0401,0.1122,-0.1668,-0.0360,-0.1525,0.2295,0.1704,-0.4573,-0.0543,-0.0098,-0.0086,-0.0131,0.1308,-0.1403,0.4646,-0.1534,23.6250
4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0170,-0.2066,0.0668,0.1398,0.0010,-0.0071,0.0093,0.0164,0.0102,0.1685,-0.2288,-0.0223,0.0048,-0.0019,0.0112,0.0197,0.0511,-0.0100,0.0336,-0.0053,0.0665,-0.2457,0.2472,-0.0659,23.4583
5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0108,-0.1681,0.0665,0.1259,0.0070,-0.0107,0.0140,0.0150,0.0256,0.1397,-0.1873,-0.0283,-0.0064,-0.0093,-0.0032,0.0109,0.0016,-0.0078,0.0069,-0.0013,0.0010,-0.0004,-0.0072,0.0001,23.5417
6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0098,-0.1691,0.0682,0.1278,-0.0000,-0.0118,0.0149,0.0185,0.0252,0.1377,-0.1877,-0.0265,-0.0079,0.0057,-0.0037,-0.0116,0.0145,0.0216,-0.0109,-0.0043,0.0090,-0.0002,0.0018,-0.0062,23.5417
7,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0121,-0.1681,0.0676,0.1244,-0.0000,-0.0107,0.0119,0.0181,0.0287,0.1397,-0.1909,-0.0265,-0.0122,-0.0012,0.0097,-0.0068,0.0075,-0.0038,-0.0072,0.0022,-0.0067,-0.0080,0.0124,-0.0034,23.6250
8,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0117,-0.1742,0.0665,0.1263,0.0077,-0.0110,0.0135,0.0162,0.0257,0.1368,-0.1886,-0.0258,-0.0000,0.0148,-0.0007,0.0000,-0.0111,0.0154,-0.0100,0.0003,0.0085,-0.0106,-0.0060,-0.0031,23.5417
9,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0105,-0.2023,0.0813,0.1236,0.0038,-0.0149,0.0010,0.0165,0.0216,0.1692,-0.1930,-0.0179,-0.7219,1.6125,0.5377,-1.4575,0.2237,0.1073,0.3364,0.0518,0.8374,-1.5662,1.3665,-0.8806,23.5833
10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0033,-0.1979,0.0915,0.1213,0.0002,-0.0084,0.0075,0.0164,0.0164,0.1578,-0.1833,-0.0378,0.0005,-0.0159,-0.0013,-0.0007,0.0132,-0.0018,0.0096,0.0035,0.0111,-0.0217,0.0047,0.0018,23.4583
