Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
body,-0.32752,-2.9629E-15,1.7313E-06,0,0,0,2.2513,0.0057625,-8.7304E-05,1.0916E-18,0.0055913,-1.5343E-18,0.0098037,0,0,0,0,0,0,package://quad/meshes/body.STL,1,1,1,1,0,0,0,0,0,0,package://quad/meshes/body.STL,,body_frame-1,global_cs,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
fl_thigh,0.11146,0.0015174,-2.6761E-06,0,0,0,0.37562,0.00013061,-2.1926E-05,2.1184E-08,0.0014106,4.7747E-10,0.0012998,0,0,0,0,0,0,package://quad/meshes/fl_thigh.STL,1,1,1,1,0,0,0,0,0,0,package://quad/meshes/fl_thigh.STL,,thigh-4,fl_hip_roll_cs,fl_hip_roll_axis,fl_hip_roll,revolute,-0.214,0.11772,0,0,0,0,body,-1,0,0,10,250,-12.56,12.56,,,,,,,,
fl_calf,-2.40445745358642E-06,0.0388018424499711,-0.0964223591973776,0,0,0,0.41885250755801,0.00182045970694818,4.00058901893874E-10,-2.10867638888528E-08,0.00192943062173499,0.00011329577878332,0.000165412004471573,0,0,0,0,0,0,package://quad/meshes/fl_calf.STL,1,1,1,1,0,0,0,0,0,0,package://quad/meshes/fl_calf.STL,,calf-3,fl_hip_pitch_cs,fl_hip_pitch_axis,fl_hip_pitch,revolute,0.19225,0.023,0,0,0,0,fl_thigh,0,-1,0,10,250,-12.56,12.56,,,,,,,,
fl_foot,-0.00148248621300923,-0.0055097231343339,-0.120083874258489,0,0,0,0.128682263244567,0.000450269316217515,-3.44384333995569E-08,2.7513156509436E-06,0.00045668990687112,6.18509098395221E-06,1.55549486939879E-05,0,0,0,0,0,0,package://quad/meshes/fl_foot.STL,1,1,1,1,0,0,0,0,0,0,package://quad/meshes/fl_foot.STL,,left_foot-2,fl_knee_pitch_cs,fl_knee_pitch_axis,fl_knee_pitch,revolute,0,0.081,-0.19625,0,0,0,fl_calf,0,-1,0,10,250,-12.56,12.56,,,,,,,,
fr_thigh,0.111458241789465,-0.00151741306830394,2.67611392543166E-06,0,0,0,0.375618459455155,0.000130612599408191,2.19255581461814E-05,-2.11843061243057E-08,0.00141056527954256,4.77473146110722E-10,0.00129979435600257,0,0,0,0,0,0,package://quad/meshes/fr_thigh.STL,1,1,1,1,0,0,0,0,0,0,package://quad/meshes/fr_thigh.STL,,thigh-1,fr_hip_roll_cs,fr_hip_roll_axis,fr_hip_roll,revolute,-0.214,-0.11773,0,0,0,0,body,1,0,0,10,250,-12.56,12.56,,,,,,,,
fr_calf,2.40445745280926E-06,-0.0388018424499714,-0.0964223591973775,0,0,0,0.418852507558011,0.00182045970694818,4.00058903432038E-10,2.1086763886292E-08,0.00192943062173499,-0.000113295778783327,0.000165412004471574,0,0,0,0,0,0,package://quad/meshes/fr_calf.STL,1,1,1,1,0,0,0,0,0,0,package://quad/meshes/fr_calf.STL,,calf-2,fr_hip_pitch_cs,fr_hip_pitch_axis,fr_hip_pitch,revolute,0.19225,-0.023,0,0,0,0,fr_thigh,0,1,0,10,250,-12.56,12.56,,,,,,,,
fr_foot,-0.00148248621300995,0.00550972313433346,-0.12008387425849,0,0,0,0.128682263244566,0.000450269316217515,3.44384333993277E-08,2.7513156509416E-06,0.00045668990687112,-6.1850909839536E-06,1.55549486939879E-05,0,0,0,0,0,0,package://quad/meshes/fr_foot.STL,1,1,1,1,0,0,0,0,0,0,package://quad/meshes/fr_foot.STL,,right_foot-1,fr_knee_pitch_cs,fr_knee_pitch_axis,fr_knee_pitch,revolute,0,-0.081,-0.19625,0,0,0,fr_calf,0,1,0,10,250,-12.56,12.56,,,,,,,,
bl_thigh,-0.111458241789465,0.00151741306830488,2.67611392548023E-06,0,0,0,0.375618459455155,0.000130612599408191,2.19255581461907E-05,2.11843061247341E-08,0.00141056527954256,-4.77473147111558E-10,0.00129979435600256,0,0,0,0,0,0,package://quad/meshes/bl_thigh.STL,1,1,1,1,0,0,0,0,0,0,package://quad/meshes/bl_thigh.STL,,thigh-5,bl_hip_roll_cs,bl_hip_roll_axis,bl_hip_roll,revolute,-0.441,0.11772,0,0,0,0,body,-1,0,0,10,250,-12.56,12.56,,,,,,,,
bl_calf,-2.40445745258722E-06,0.0388018424499707,-0.0964223591973779,0,0,0,0.41885250755801,0.00182045970694818,4.00058904326494E-10,-2.10867638859166E-08,0.00192943062173499,0.00011329577878331,0.000165412004471572,0,0,0,0,0,0,package://quad/meshes/bl_calf.STL,1,1,1,1,0,0,0,0,0,0,package://quad/meshes/bl_calf.STL,,calf-4,bl_hip_pitch_cs,bl_hip_pitch_axis,bl_hip_pitch,revolute,-0.19225,0.023,0,0,0,0,bl_thigh,0,-1,0,10,250,-12.56,12.56,,,,,,,,
bl_foot,-0.00148248621300906,-0.00550972313433448,-0.12008387425849,0,0,0,0.128682263244567,0.000450269316217516,-3.44384333993976E-08,2.75131565094377E-06,0.000456689906871121,6.18509098394978E-06,1.55549486939878E-05,0,0,0,0,0,0,package://quad/meshes/bl_foot.STL,1,1,1,1,0,0,0,0,0,0,package://quad/meshes/bl_foot.STL,,left_foot-1,bl_knee_pitch_cs,bl_knee_pitch_axis,bl_knee_pitch,revolute,0,0.081,-0.19625,0,0,0,bl_calf,0,-1,0,10,250,-12.56,12.56,,,,,,,,
